x y z c
1.75 -1.25 -19 0
2.25 -1.25 -19 0
2.75 -1.25 -19 0
3.25 -1.25 -19 0
3.75 -1.25 -19 0
4.25 -1.25 -19 0
4.75 -1.25 -19 0
5.25 -1.25 -19 0
5.75 -1.25 -19 0
6.25 -1.25 -19 0
6.75 -1.25 -19 0
7.25 -1.25 -19 0
7.75 -1.25 -19 0
8.25 -1.25 -19 0
8.75 -1.25 -19 0
9.25 -1.25 -19 0
9.75 -1.25 -19 0
10.25 -1.25 -19 0
10.75 -1.25 -19 0
11.25 -1.25 -19 0
11.75 -1.25 -19 0
12.5 -1.25 -19 0
